source_text	translation_ko	notes
We have just learned that the artifact is on an island north of this continent. However, there does not appear to be any means to get there. Stay very alert for any possible way across the narrow channel.	방금 유물이 이 대륙 북쪽의 섬에 있다는 사실을 알아냈다. 하지만 그곳으로 갈 방법은 보이지 않는다. 좁은 해협을 건널 수 있는 수단이 없는지 각별히 살펴라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to Windfall Island!	윈드폴 아일랜드에 오신 것을 환영합니다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to the Sandbar.	샌드바에 오신 것을 환영합니다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to the Spiral Isles	스파이럴 제도에 오신 것을 환영합니다	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to the sandy Isle.	모래섬에 오신 것을 환영합니다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to the sorceress' guild. 	여마법사 길드에 오신 것을 환영합니다.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Welcome to your DOOM!	당신의 파멸에 오신 것을 환영합니다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Well placed bribes have won you a stronghold near the warring Barbarians. Be advised that given their proximity an unguarded castle is an open invitation to defeat.	적절한 뇌물 덕분에 전쟁 중인 바바리안들 근처의 요새를 손에 넣었다. 그들과 가까운 만큼 지키는 병력이 없는 성은 패배를 자초하는 거나 다름없다는 점을 명심하라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
What are you doing here?	여기서 뭐 하는 거지?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
What is time spent poorly?	형편없이 보낸 시간은 무엇이라 부르는가?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Who is the true King?	진정한 왕은 누구인가?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Windfall Isle	윈드폴 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Wizard's 4	위저드 4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Wizards 1	위저드 1	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Wizards 2	위저드 2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Wizards 3	위저드 3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Yellow gets some stuff	노랑에게 물자를 조금	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Yellow stuff	노랑 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Yellow's Steady Cash	노랑의 안정적인 현금	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Yellow's Yarbols	노랑의 야르볼	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You are fighting on the side of your king!	당신은 왕의 편에서 싸우고 있다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You are fighting on the side of your sister!	당신은 자매의 편에서 싸우고 있다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You are now entering the domain of Prince Roland. Have a nice day.	이제 롤랜드 왕자의 영지에 들어섭니다. 좋은 하루 보내세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You are now entering the domain of Prince Roland. Have a pleasant stay.	이제 롤랜드 왕자의 영지에 들어섭니다. 즐거운 시간 보내세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You bribe the entrance guards of this dingy prison camp. They agree to look the other way for a little while.	이 칙칙한 수용소의 입구 경비병들에게 뇌물을 준다. 잠시 동안 못 본 척해 주기로 한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You cautiously ride through the trees, looking out for enemy assaults, when suddenly, the old elf is beside you. ""Your quest is almost at an end, my friend. All that remains is for you to lay seige to these last few castles. The fate of my people rests upon your final battles here. May the gods be with you as well.""  He turns to leave, but you ask him his name before he is gone. Over his shoulder, as he is leaving he says ""I am Ilthanis, king of the elves."""	"적의 습격을 경계하며 조심스럽게 숲을 달리는데, 갑자기 그 늙은 엘프가 옆에 나타난다. ""친구여, 네 여정도 거의 끝났네. 이제 남은 건 마지막 몇 성을 포위하는 일뿐이야. 우리 백성의 운명이 이 마지막 전투에 달렸네. 신들도 그대와 함께하길."" 그가 돌아서 떠나려 하자 사라지기 전에 이름을 묻는다. 그는 어깨 너머로 답한다. ""나는 엘프의 왕 일타니스다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You find a note in the bottle! It reads, ""My ship has been wrecked by the notorious pirates in this area! I am stranded on a small and barren island. Please, I beg you to come and rescue me!"""	"병 안에서 쪽지를 발견한다! ""이 지역의 악명 높은 해적들에게 배가 난파당했습니다! 작고 황량한 섬에 고립되어 있습니다. 제발, 부탁이니 와서 구해 주세요!""라고 적혀 있다."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You find an old signpost in the midst of a thicket that reads ""Warlock Wood, West.  Barbarian Fields, East."""	"덤불 한가운데에서 오래된 이정표를 발견한다. ""흑마법사의 숲, 서쪽. 바바리안 들판, 동쪽.""이라고 적혀 있다."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You have hired a barbarian of great power to aid you in this, your last quest. His origins are unknown to you, but you sense strong nobility beneath the furs and dirt that cover him. In addition, the famous explorer, Marco the wizard, is rumored to have wrecked his ship in this new land. Finding him would prove to be a much needed boon to your cause. 	마지막 임무를 돕도록 엄청난 힘을 가진 바바리안 하나를 고용했다. 출신은 알 수 없지만 모피와 때 아래로 강한 고귀함이 느껴진다. 게다가 유명한 탐험가인 위저드 마르코가 이 새 땅에서 난파했다는 소문도 있다. 그를 찾는다면 당신의 대의에 꼭 필요한 큰 도움이 될 것이다.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You have just 8 weeks  to build your army and conquer a town on the other side of a distant river.  There are three paths to take, which will you choose?	군대를 키우고 먼 강 건너편의 마을을 정복할 시간은 단 8주뿐이다. 갈 수 있는 길은 세 가지다. 어느 길을 택할 것인가?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You have just 8 weeks to build your army and conquer a town on the other side of a distant river.  There are three paths to take, which will you choose?	군대를 키우고 먼 강 건너편의 마을을 정복할 시간은 단 8주뿐이다. 갈 수 있는 길은 세 가지다. 어느 길을 택할 것인가?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You have received a message from Archibald.  "" HOW DARE YOU BETRAY ME! I will see your head on the block alongside your new master's once I have won."	"아치발드에게서 전갈이 왔다. ""감히 나를 배신하다니! 내가 승리하면 네 새 주인의 머리 옆에 네 머리도 단두대에 올려 주마."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You have received a message from Archibald. ""General, these peasants deserve punishment. Put them to the sword and let Corlagon have his way with them."""	"아치발드에게서 전갈이 왔다. ""장군, 이 농민들은 벌을 받아 마땅하다. 모조리 베어 버리고 콜라곤이 마음대로 하게 두어라."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You have received a message from Roland. "" I am shocked! I had thought better of you, but I was terribly wrong. Now you'll have to live with your dark decision for the rest of your life."""	"롤랜드에게서 전갈이 왔다. ""충격이군! 더 나은 사람인 줄 알았는데 내가 크게 잘못 봤다. 이제 남은 평생 그 어두운 선택의 결과를 안고 살아야 할 것이다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You have recieved a shipment of supplies from your kingdom!	왕국에서 보급품이 도착했다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You have recieved a shipment of supplies from your kingdom! There is a note attached, ""These are all we could afford to send you from our treasuries, as the war with Harondale is taxing us greatly. We will send more in two weeks."""	"왕국에서 보급품이 도착했다! 쪽지가 붙어 있다. ""하라데일과의 전쟁으로 재정이 크게 압박받고 있어 지금 국고에서 보낼 수 있는 건 이것이 전부입니다. 2주 뒤 더 보내겠습니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You have washed up on the beach after being shipwrecked. Your goal is to find a way home.	난파당한 뒤 해변에 떠밀려 왔다. 목표는 집으로 돌아갈 방법을 찾는 것이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You hear a rumor from a peasant who lives in the town of Waystop. He says, ""The pirates control most of the sulfur mines in this area. They use it for the cannons on their bigger boats. If you want a mine, you'll have to defeat them."""	"웨이스톱 마을에 사는 농민에게 소문을 듣는다. ""이 지역 유황 광산 대부분은 해적들이 장악하고 있습니다. 큰 배의 대포에 쓰려고 캐는 거죠. 광산을 원한다면 놈들을 이겨야 할 겁니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You hear melodic strains of elvish music as you enter this clearing.	이 공터에 들어서자 선율 좋은 엘프 음악이 들린다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You must, like, forsake your earthly wealth and, like, join us on the island of the lotus eaters.	그러니까, 세속의 부를 버리고, 뭐랄까, 우리와 함께 연꽃을 먹는 자들의 섬에 들어와야 해.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You notice some runes hastily scrawled into a rock by your feet, They look like the initials of Uncle Ivan!	발치의 바위에 급하게 긁어 쓴 룬이 눈에 띈다. 이반 삼촌의 이니셜처럼 보인다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You notice that mines and resources in the elvish lands are few, and you send word to your kingdom that you will need extra supplies. They should respond within a fortnight.	엘프 영토에는 광산과 자원이 부족하다는 사실을 깨닫고 왕국에 추가 보급품이 필요하다고 전한다. 2주 안에 답이 올 것이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You see a family of refugees making their way from the beach. You ask them about their plight and they tell you that they are from a once great city called Moss Side. They tell you that the castle was destroyed in a great conflagration, and they fled for fear of their lives. 	해변에서 이동 중인 난민 가족을 본다. 사정을 묻자 한때 위대한 도시였던 모스 사이드 출신이라고 한다. 성이 거대한 화재로 파괴되었고 목숨을 건지려고 도망쳤다고 말한다.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You see an old man bringing water towards the stables. Recognizing him as the mystic, you attempt to thank him for his gift with some gold. He refuses, but says to you instead, ""There are riddles guarding the source of the fount's power, and the dragons know the answers. Make your way through their lair, and you shall know victory."""	"마구간 쪽으로 물을 나르는 노인을 본다. 그가 신비술사임을 알아보고 선물에 대한 답례로 금을 주려 한다. 그는 거절하며 대신 말한다. ""샘의 힘의 근원을 지키는 수수께끼들이 있고, 드래곤들이 그 답을 알고 있소. 그들의 소굴을 통과하시오. 그러면 승리의 길을 알게 될 것이오."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You see an old mystic perched on a rock. You walk towards him to see if he has any words for you on your quest, and he says ""First I see you as a great conquerer of the lands of men. Secondly, I see you as a mighty ruler of vast armies, well loved by your troops. Thirdly, I see you as a slayer of legions of dragons, your body bathed in their fire. Lastly, I see you standing on the shores of the fount, unable to cross."" Then the Mystic fades away."	"바위 위에 앉은 늙은 신비술사를 본다. 임무에 관한 말을 들을 수 있을까 다가가자 그가 말한다. ""첫째, 나는 그대가 인간의 땅을 정복한 위대한 정복자로 보인다. 둘째, 거대한 군대를 다스리며 병사들에게 사랑받는 강력한 통치자로 보인다. 셋째, 수많은 드래곤 군단을 쓰러뜨리고 그 불길에 온몸이 휩싸인 모습이 보인다. 마지막으로, 샘의 기슭에 서서 건너지 못하는 그대가 보인다."" 그러고는 신비술사가 사라진다."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You send this letter back to the king,""A month has passed and we have not discovered the wizard Joseph. I only hope that we are able to locate him in time to aid us in our struggle."""	"왕에게 이 편지를 보낸다. ""한 달이 지났지만 아직 위저드 조셉을 찾지 못했습니다. 우리 싸움에 도움이 되도록 제때 그를 찾을 수 있기를 바랄 뿐입니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You're almost there!	거의 다 왔다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You're here! Oh, thank you thank you thank you! I'm in the jail east of the castle. Please hurry!	왔군요! 아, 정말 정말 정말 감사합니다! 저는 성 동쪽 감옥에 있어요. 제발 서둘러 주세요!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
You've been warned!	경고는 했다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"You've received a message from the guild. ""Thank God you've arrived! We're under seige from two enemies from the north and one from across the sea. Please save us, you're our only hope."""	"길드에서 전갈이 왔다. ""신이시여, 드디어 오셨군요! 북쪽의 적 둘과 바다 건너 적 하나에게 포위당했습니다. 제발 구해 주세요. 당신만이 우리의 희망입니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Your advance scouts come riding back to you with the following news. They believe they have found signs that Uncle Ivan was in this general area, and that he made his way to the north many months ago. Also they say there is a town nearby and many resources to the east.	선발 정찰병들이 말을 타고 돌아와 보고한다. 이반 삼촌이 이 일대에 있었던 흔적을 찾은 것 같고, 여러 달 전 북쪽으로 이동한 듯하다고 한다. 또한 근처에 마을이 하나 있고 동쪽에는 자원이 많다고 한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Your arrival here was a surprise to those sworn to guard Dragon Isle, and you were able to quickly capture one of their castles.  Use caution, though, for two other guardians remain in this jungle.	당신의 도착은 드래곤 섬을 지키기로 맹세한 자들에게 예상 밖이었고, 덕분에 성 하나를 빠르게 점령했다. 하지만 이 정글에는 아직 수호자 둘이 남아 있으니 조심하라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Your rival, the kingdom of Harondale, is attacking your weak border towns! Recover from their first strike and crush them completely.	라이벌 하론데일 왕국이 약한 국경 마을들을 공격하고 있다! 첫 공격에서 회복한 뒤 놈들을 완전히 짓밟아라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Your sister calls you before her altar in the morning. ""I have important news,"" she says, ""The barbarian kingdoms which border this land have agreed to lend us some of their castles and warriors in return for a share of the spoils. I hope victory comes swiftly, but your presence gives me strength to stand until whatever end awaits."""	"아침에 자매가 제단 앞으로 당신을 부른다. ""중요한 소식이 있어."" 그녀가 말한다. ""이 땅과 접한 바바리안 왕국들이 전리품 일부를 나눠 받는 조건으로 성과 전사들을 빌려주기로 했어. 승리가 빨리 오길 바라지만, 네가 곁에 있다는 사실만으로도 어떤 결말이 기다리든 버틸 힘이 생겨."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d1	d1	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d2	d2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d3	d3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d4	d4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d5	d5	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d6	d6	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d7	d7	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
d8	d8	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
green stuff	초록 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
red gets basic stuff	빨강에게 기본 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
vh1	vh1	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
vh2	vh2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
vh3	vh3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
vh4	vh4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
